Date,Open,High,Low,Close,Volume
2023-10-11T03:00:00Z,27120.93,27158.81,27011.01,27016.05,1578.58881
2023-10-11T04:00:00Z,27016.04,27129.3,26964.89,27123.6,1619.42474
2023-10-11T05:00:00Z,27123.6,27143.91,27059.88,27113.68,1018.97673
2023-10-11T06:00:00Z,27113.69,27119.84,27051.0,27068.95,1307.09448
2023-10-11T07:00:00Z,27068.96,27099.53,27018.56,27021.95,834.26102
2023-10-11T08:00:00Z,27021.95,27117.31,27017.0,27108.43,1013.98826
2023-10-11T09:00:00Z,27108.44,27288.98,27090.01,27285.44,1686.21034
2023-10-11T10:00:00Z,27285.44,27332.0,27219.0,27277.27,1245.26892
2023-10-11T11:00:00Z,27277.27,27295.0,27176.38,27196.26,918.34402
2023-10-11T12:00:00Z,27196.26,27262.45,27037.68,27169.17,1776.25301
2023-10-11T13:00:00Z,27169.16,27182.7,27071.03,27143.59,1041.86097
2023-10-11T14:00:00Z,27143.59,27165.92,27030.0,27091.88,1276.57506
2023-10-11T15:00:00Z,27091.89,27100.0,26727.56,26779.46,4705.85089
2023-10-11T16:00:00Z,26779.45,26793.81,26630.0,26682.69,3581.47188
2023-10-11T17:00:00Z,26682.69,26717.62,26538.66,26632.26,2770.62819
2023-10-11T18:00:00Z,26632.27,26710.03,26585.51,26690.4,1350.89845
2023-10-11T19:00:00Z,26690.41,26795.63,26675.98,26763.2,2118.60594
2023-10-11T20:00:00Z,26763.19,26780.12,26693.04,26725.28,809.09818
2023-10-11T21:00:00Z,26725.28,26768.14,26680.0,26728.44,478.3463
2023-10-11T22:00:00Z,26728.43,26800.0,26717.7,26784.15,575.52698
2023-10-11T23:00:00Z,26784.16,26885.41,26756.74,26875.52,842.63779
2023-10-12T00:00:00Z,26875.52,26887.06,26797.2,26801.73,875.89031
2023-10-12T01:00:00Z,26801.72,26807.84,26735.83,26779.79,958.73006
2023-10-12T02:00:00Z,26779.79,26947.04,26756.59,26903.29,1532.41554
2023-10-12T03:00:00Z,26903.29,26916.89,26829.6,26847.07,691.05608
2023-10-12T04:00:00Z,26847.07,26849.99,26815.01,26821.1,476.08177
2023-10-12T05:00:00Z,26821.11,26876.86,26783.14,26876.85,566.5246
2023-10-12T06:00:00Z,26876.85,26920.81,26838.01,26870.0,766.19562
2023-10-12T07:00:00Z,26870.01,26876.44,26804.8,26810.66,967.04688
2023-10-12T08:00:00Z,26810.66,26824.59,26771.19,26802.8,886.87245
2023-10-12T09:00:00Z,26802.81,26824.12,26655.6,26742.3,2158.61724
2023-10-12T10:00:00Z,26742.3,26782.93,26732.73,26754.79,848.54755
2023-10-12T11:00:00Z,26754.8,26867.14,26721.79,26837.84,1118.35858
2023-10-12T12:00:00Z,26837.84,26857.25,26753.2,26829.99,1234.09508
2023-10-12T13:00:00Z,26830.0,26862.74,26685.71,26761.6,1250.80678
2023-10-12T14:00:00Z,26761.6,26778.89,26633.57,26701.94,1079.08891
2023-10-12T15:00:00Z,26701.93,26734.58,26621.76,26675.0,1004.56956
2023-10-12T16:00:00Z,26674.99,26804.99,26566.15,26673.36,2043.48342
2023-10-12T17:00:00Z,26673.36,26692.65,26555.0,26641.9,1387.19872
2023-10-12T18:00:00Z,26641.89,26729.25,26596.45,26658.06,891.68337
2023-10-12T19:00:00Z,26658.07,26739.95,26630.01,26712.9,629.62968
